Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,final 3rd,PPA,CrsPA,Prog,Matches
161,Jordan Nobbs,eng ENG,MF,Arsenal,26,1992,11.6,49.8,59.1,84.4,746.4,141.7,1.72,3.36,51.3,42.3,47.2,89.8,67,99,67.7,0.09,0.19,-0.1,2.07,4.74,1.72,0.09,4.57,Matches
162,Lotta Ökvist,se SWE,DF,Manchester Utd,22,1997,2.1,11,18.1,60.5,171,125.7,0,0.48,0,10.5,13.3,78.6,1,9,11.1,0,0,0,0.48,0.48,0,0,4.76,Matches
163,Mayumi Pacheco,eng ENG,DF,Reading,20,1998,7.6,32.1,45.1,71.1,565.3,227.9,0.13,1.45,9.1,27.1,34.5,78.6,37,70,52.9,0,0,0,0.13,1.58,0.66,0,7.37,Matches
164,Jessica Park,eng ENG,"FW,MF",Manchester City,17,2001,0.2,30,30,100,395,100,0,0,,30,30,100,0,0,,0,0,0,0,0,0,0,5,Matches
165,Poppy Pattinson,eng ENG,DF,Bristol City,19,2000,5.9,23.7,39,60.9,408,208,0.17,1.02,16.7,20.7,29.3,70.5,17,51,33.3,0,0.03,-0.03,0.34,1.53,0.17,0,4.92,Matches
166,Chloe Peplow,eng ENG,MF,Tottenham,20,1998,9.1,33.7,40.7,83,704.2,146.5,1.1,1.65,66.7,23.4,26.2,89.5,84,117,71.8,0,0.03,-0.03,0.77,2.64,0.22,0,3.74,Matches
167,Ria Percival,nz NZL,"MF,DF",Tottenham,29,1989,14,24.9,33.9,73.3,439.8,160.5,0.5,1.43,35,19.8,23.4,84.7,64,128,50,0.07,0.04,0.04,0.64,1.71,0.29,0.14,4.79,Matches
168,Pauline Peyraud Magnin,fr FRA,GK,Arsenal,27,1992,3,41,48.7,84.2,918.7,438.3,1,1,100,27,27,100,39,62,62.9,0,0,0,0,0.33,0,0,0,Matches
169,Molly Pike,eng ENG,MF,Everton,18,2001,6.2,15.6,25.6,61,251.6,91.3,0.81,2.1,38.5,12.4,17.4,71.3,15,38,39.5,0.32,0.13,0.19,1.13,0.97,1.45,0.16,2.74,Matches
170,Jo Potter,eng ENG,DF,Reading,34,1984,7.9,34.4,53.5,64.3,838.4,372.7,0.89,2.15,41.2,18.7,23.9,78.3,117,217,53.9,0,0,0,0.13,3.29,0.13,0,5.32,Matches
171,Anke Preuß,de GER,GK,Liverpool,26,1992,10,18.3,33,55.5,485.5,297.5,0,0.1,0,11.2,11.3,99.1,71,216,32.9,0,0,0,0,0,0,0,0,Matches
172,Jemma Purfield,eng ENG,DF,Liverpool,22,1997,1.3,27.7,44.6,62.1,399.2,273.1,0.77,2.31,33.3,26.2,32.3,81,1,13,7.7,0,0,0,0,0.77,0.77,0,3.85,Matches
173,Louise Quinn,ie IRL,DF,Arsenal,29,1990,2.9,69.7,79.7,87.4,1507.2,400.7,0.69,1.03,66.7,45.9,51,89.9,67,80,83.8,0,0,0,0,3.1,0.34,0,2.76,Matches
174,Lucy Quinn,eng ENG,"MF,FW",Tottenham,,,5.9,17.8,28.8,61.8,356.1,114.2,0.85,3.56,23.8,12.9,16.9,76,24,49,49,0,0.07,-0.07,0.85,1.19,0.85,0.68,3.73,Matches
175,Kirsten Reilly,sco SCO,FW,Bristol City,23,1995,0,0,4,0,0,0,0,1,0,0,3,0,0,0,,0,0,0,0,0,0,0,0,Matches
176,Guro Reiten,no NOR,"MF,FW",Chelsea,25,1994,13.5,24.5,38.3,64,457.2,198,0.59,3.26,18.2,18.3,23.7,77.2,76,153,49.7,0.44,0.4,0.04,2.81,2,2.22,0.74,7.33,Matches
177,Leigh-Anne Robe,eng ENG,DF,Liverpool,25,1993,14,30.3,43,70.4,532.4,295.1,0.5,1.14,43.8,25.1,32.2,78,65,135,48.1,0,0.01,-0.01,0.14,1.86,0.21,0.07,6.57,Matches
178,Rhiannon Roberts,wal WAL,MF,Liverpool,28,1990,9.8,23.8,35,67.9,468.6,148.8,0.31,1.63,18.8,17.4,22.2,78.4,59,109,54.1,0,0.02,-0.02,0.51,2.55,0.2,0,3.16,Matches
179,Katie Robinson,eng ENG,"FW,DF",Bristol City,16,2002,2.9,11.7,17.9,65.4,173.1,61.7,0.34,1.72,20,10.3,13.1,78.9,3,9,33.3,0,0.03,-0.03,0.69,0.69,0.69,0.34,2.41,Matches
180,Amy Rodgers,eng ENG,MF,Liverpool,19,2000,2.6,15.8,20.8,75.9,251.9,60.8,0,0.38,0,13.8,18.1,76.6,5,6,83.3,0,0.04,-0.04,0.77,0.77,0.38,0,1.15,Matches
181,Ellie Roebuck,eng ENG,GK,Manchester City,19,1999,16,34.3,38.8,88.4,791.4,421.9,0.19,0.25,75,23.6,23.7,99.7,167,237,70.5,0,0,0,0.06,0.19,0,0,0,Matches
182,Jill Roord,nl NED,"MF,FW",Arsenal,22,1997,9.4,48.4,53.6,90.3,842,165.2,0.96,1.6,60,38,41.1,92.5,89,103,86.4,0,0.12,-0.12,0.96,3.51,1.38,0,4.89,Matches
183,Emma Rose Kelly,eng ENG,"MF,FW",Birmingham City,22,1997,1.2,23.3,33.3,70,343.3,100.8,1.67,4.17,40,19.2,23.3,82.1,3,7,42.9,0,0.08,-0.08,0.83,2.5,1.67,0.83,3.33,Matches
184,Jane Ross,sco SCO,FW,Manchester Utd,29,1989,6.3,16,24.4,65.6,217,40.2,1.11,2.22,50,13.2,18.3,72.2,11,25,44,0.16,0.05,0.11,0.95,0.63,0.63,0.32,1.43,Matches
185,Rachel Rowe,wal WAL,DF,Reading,26,1992,10.5,28.5,45.6,62.4,494.2,253.4,0.19,2.67,7.1,24.4,33.3,73.1,41,101,40.6,0,0.04,-0.04,0.57,2.57,0.29,0.1,8.19,Matches
186,Ebony Salmon,eng ENG,"FW,MF",Bristol City,18,2001,8.3,8.19,14.6,56.2,147.7,43,0.24,1.2,20,6.63,10,66.3,11,28,39.3,0.12,0.11,0.01,0.6,0.12,0.6,0.36,1.33,Matches
187,Meaghan Sargeant,eng ENG,DF,Bristol City,25,1994,11.7,23.2,32.1,72.3,522.3,194.7,0.09,0.68,12.5,15.6,19.1,81.7,88,144,61.1,0,0.01,-0.01,0.26,1.03,0,0,2.82,Matches
188,Jenna Schillaci,eng ENG,DF,Tottenham,35,1984,3,41.3,50,82.7,1061.3,343.7,0.33,0.67,50,20.7,23.3,88.6,61,78,78.2,0,0.03,-0.03,0.33,0.67,0,0,1,Matches
189,Viktoria Schnaderbeck,at AUT,DF,Arsenal,28,1991,9.7,70.6,78.4,90.1,1460.9,434.4,0.31,1.13,27.3,50.7,54.8,92.5,190,217,87.6,0,0,0,0,4.02,0.1,0.1,5.88,Matches
190,Connie Scofield,eng ENG,"MF,FW",Birmingham City,20,1999,4,26.5,33.8,78.5,401.5,71.8,1.25,2.25,55.6,21.8,26.5,82.1,14,20,70,0,0,0,0,1.25,0.25,0,2,Matches
191,Harriet Scott,ie IRL,DF,Birmingham City,26,1993,8.8,34.4,44.8,76.9,705.3,251.2,0.23,1.25,18.2,24.1,27,89.1,89,145,61.4,0,0.02,-0.02,0.23,1.36,0.23,0.23,3.07,Matches
192,Jill Scott,eng ENG,MF,Manchester City,32,1987,14.3,32.7,41.4,78.9,524.7,122.2,0.91,1.96,46.4,27.6,32.7,84.2,60,96,62.5,0.21,0.2,0.01,1.68,1.89,1.4,0.49,4.13,Matches
193,Jessica Sigsworth,eng ENG,"FW,MF",Manchester Utd,24,1994,8,11.5,20,57.5,182.9,51.5,0.38,2.25,16.7,10.1,15.1,66.9,8,21,38.1,0.38,0.31,0.06,1.5,0.63,0.88,0.25,1.75,Matches
194,Julia Simic,de GER,MF,West Ham,30,1989,2.3,33.5,43.5,77,585.7,210.4,0,0.43,0,27,33.9,79.5,15,21,71.4,0.87,0.09,0.78,1.3,6.52,0,0,6.96,Matches
195,Lily Simkin,,DF,Birmingham City,,,4.6,27.4,43.9,62.4,450.9,248.3,0.65,2.83,23.1,23,31.3,73.6,17,45,37.8,0,0.02,-0.02,0.65,1.74,0.43,0.22,8.7,Matches
196,Erin Simon,us USA,DF,West Ham,24,1994,1.5,33.3,41.3,80.6,592.7,333.3,0.67,0.67,100,26.7,30,88.9,9,16,56.3,0.67,0.07,0.6,0.67,1.33,0.67,0.67,8,Matches
197,Emily Simpkins,eng ENG,MF,Brighton,29,1990,6.7,16.9,23.6,71.5,281.6,84.6,0.45,1.79,25,14.2,17.2,82.6,15,31,48.4,0.15,0.01,0.13,0.3,1.64,0,0,1.64,Matches
198,Kirsty Smith,sco SCO,DF,Manchester Utd,25,1994,7,37.3,53.7,69.4,619.6,287.7,1,2.43,41.2,30.4,40.3,75.5,41,77,53.2,0,0.03,-0.03,0.71,2.71,0.71,0.43,7,Matches
199,Cho So-hyun,kr KOR,MF,West Ham,31,1988,6.1,26.4,34.6,76.3,436.6,155.6,0.33,1.15,28.6,22,27.5,79.8,25,36,69.4,0,0.03,-0.03,0.66,3.11,0.66,0.33,3.77,Matches
200,Ji So-yun,kr KOR,MF,Chelsea,28,1991,11.2,55.9,63.4,88.2,999.8,225.1,0.8,2.32,34.6,44.4,47.8,92.9,120,149,80.5,0.18,0.24,-0.06,1.88,5.27,1.96,0.54,6.7,Matches
201,Drew Spence,eng ENG,"MF,FW",Chelsea,26,1992,7,32.9,41.1,79.9,583.7,145.4,1.29,2.29,56.3,25.1,29.6,85,45,65,69.2,0.29,0.19,0.1,1.29,2.86,0.71,0,4,Matches
202,Rebecca Spencer,eng ENG,GK,Tottenham,28,1991,13.4,33.7,43.4,77.7,943.1,427.8,0,0.07,0,17.6,17.7,99.6,216,344,62.8,0,0,0,0,0.07,0,0,0,Matches
203,Lucy Staniforth,eng ENG,MF,Birmingham City,26,1992,10,39.9,54.8,72.8,812.5,280.8,0.6,2.1,28.6,28.9,33.6,86,104,191,54.5,0.3,0.15,0.15,2.4,4.2,1.3,0,6.7,Matches
204,Georgia Stanway,eng ENG,"FW,MF",Manchester City,20,1999,9.2,29.8,37.8,78.7,539.6,150.9,0.98,2.17,45,23.2,27,85.9,52,80,65,0.22,0.15,0.07,1.3,2.07,1.52,0.43,5.43,Matches
205,Demi Stokes,eng ENG,DF,Manchester City,27,1991,12.6,51.7,60.5,85.6,799.9,294,1.11,2.3,48.3,45.1,49.7,90.7,70,107,65.4,0,0.04,-0.04,0.71,2.46,0.87,0.32,5,Matches
206,Abbey-Leigh Stringer,eng ENG,MF,Everton,24,1995,5.6,28.9,39.6,73,539.5,114.3,0.54,2.86,18.8,22.3,26.3,85,34,59,57.6,0,0,0,0,2.14,0,0,1.96,Matches
207,Courtney Sweetman-Kirk,eng ENG,FW,Liverpool,28,1990,6.7,15.1,18.8,80.2,208.1,28.5,1.34,2.24,60,12.4,14.8,83.8,9,12,75,0,0.07,-0.07,0.75,0.45,0.15,0,0.9,Matches
208,Carly Telford,eng ENG,GK,Chelsea,32,1987,2,37,44.5,83.1,943,476.5,0,0,,20.5,20.5,100,33,48,68.8,0,0,0,0,0,0,0,0,Matches
209,Martha Thomas,us USA,FW,West Ham,23,1996,9.9,13.4,23.7,56.6,205.3,48.3,0.61,2.73,22.2,11.3,17.4,65.1,15,36,41.7,0.1,0.16,-0.06,1.01,0.91,0.4,0.2,1.72,Matches
210,Maria Thorisdottir,no NOR,MF,Chelsea,26,1993,0.8,38.8,55,70.5,588.8,172.5,3.75,6.25,60,31.3,43.8,71.4,3,4,75,0,0,0,0,3.75,1.25,1.25,3.75,Matches
211,Tyler Toland,ie IRL,MF,Manchester City,17,2001,0.2,20,25,80,530,225,0,0,,15,15,100,1,2,50,0,0,0,5,5,0,0,0,Matches
212,Ella Toone,eng ENG,"MF,FW",Manchester Utd,19,1999,5.8,25.9,33.1,78.1,451.4,127.9,0,1.38,0,21,24.7,85.3,28,41,68.3,0.34,0.09,0.26,1.03,2.24,1.21,0,4.14,Matches
213,Amy Turner,eng ENG,DF,Manchester Utd,28,1991,11.9,32.6,44,74,638.9,323.3,0.34,1.51,22.2,24.8,29.1,85.3,89,160,55.6,0,0.05,-0.05,0.67,2.52,1.01,0.34,7.06,Matches
214,Danielle Turner,eng ENG,DF,Everton,28,1991,14,39.5,57.8,68.4,649.6,348.8,0.57,2.29,25,34.4,43.4,79.2,64,170,37.6,0.07,0.06,0.01,0.5,1.71,0.57,0.14,8.79,Matches
215,Millie Turner,eng ENG,DF,Manchester Utd,23,1996,13.9,42.2,48.3,87.3,945.8,288.6,0.07,0.79,9.1,27.4,30.1,90.9,204,241,84.6,0,0.01,-0.01,0.14,1.58,0.22,0,2.23,Matches
216,Iniabasi Umotong,ng NGA,"FW,MF",Brighton,25,1994,7,12.7,19.3,65.9,206.6,40,0.14,1,14.3,10.7,15,71.4,13,23,56.5,0,0.1,-0.1,1.29,0.43,0.29,0.29,0.86,Matches
217,Laura Vetterlein,de GER,DF,West Ham,27,1992,12.7,34.6,46.2,74.8,729.1,283,0.31,1.26,25,24.7,29.1,85.1,121,202,59.9,0,0.02,-0.02,0.16,1.89,0.08,0,3.23,Matches
218,Brianna Visalli,us USA,"MF,FW",Birmingham City,24,1995,6.9,21,29.3,71.8,349.7,94.2,0.29,1.01,28.6,18.1,23.2,78.1,18,35,51.4,0,0.03,-0.03,0.43,2.03,0.58,0.14,2.46,Matches
219,Claudia Walker,eng ENG,FW,Birmingham City,23,1996,10,14.3,22.6,63.3,206.8,66.8,1,3.2,31.3,12.1,16.2,74.7,12,32,37.5,0,0.01,-0.01,0.4,1.3,0.7,0.3,2.3,Matches
220,Filippa Wallén,,"FW,DF",West Ham,0,2020,0.6,18.3,50,36.7,308.3,248.3,1.67,3.33,50,15,33.3,45,1,8,12.5,0,0,0,1.67,3.33,0,0,8.33,Matches
221,Keira Walsh,eng ENG,MF,Manchester City,22,1997,14,55.4,64.2,86.2,1059.3,310.9,0.57,1.43,40,42.8,46.1,92.7,168,233,72.1,0.29,0.24,0.05,1.14,8.21,1.43,0.07,8,Matches
222,Megan Walsh,eng ENG,GK,Brighton,,,15,25.7,37.8,67.9,749.3,381.1,0,0.07,0,13,13.5,96.1,190,363,52.3,0,0,0,0,0.13,0,0,0.07,Matches
223,Lia Wälti,ch SUI,MF,Arsenal,26,1993,8.8,54.9,63.9,85.9,1010.7,279.1,0.57,1.14,50,43.8,48.5,90.2,93,125,74.4,0.11,0.01,0.1,0.23,5.11,0.45,0,5.8,Matches
224,Caroline Weir,sco SCO,MF,Manchester City,24,1995,16,57.1,69.4,82.3,1069.2,296.1,0.88,1.81,48.3,44.4,47.8,92.8,190,316,60.1,0.25,0.27,-0.02,2.19,4.63,1.06,0.13,7.69,Matches
225,Charlie Wellings,eng ENG,"FW,MF",Bristol City,21,1998,12.9,12.3,19.3,63.9,201.8,62.8,0.54,2.25,24.1,9.84,13.6,72.6,25,45,55.6,0,0.04,-0.04,0.39,1.01,0.23,0,1.63,Matches
226,Aileen Whelan,eng ENG,"MF,FW",Brighton,27,1991,15.8,16.2,25.1,64.5,265.8,103.8,0.44,1.9,23.3,13.7,18.7,73,33,71,46.5,0.06,0.04,0.03,0.63,1.39,0.38,0.19,2.85,Matches
227,Fern Whelan,eng ENG,DF,Brighton,30,1988,2.9,29,32.4,89.4,543.4,238.3,0,0.34,0,23.1,24.5,94.4,17,22,77.3,0,0,0,0.34,2.07,0,0,3.45,Matches
228,Lucy Whipp,eng ENG,MF,Birmingham City,23,1995,10.5,24.2,29.5,81.9,388.3,65.3,0.95,2.1,45.5,20,22.6,88.6,34,51,66.7,0,0.04,-0.04,0.67,1.33,0.1,0.1,0.95,Matches
229,Ellen White,eng ENG,FW,Manchester City,30,1989,9.6,12,17.3,69.3,160.5,37.2,0.42,1.25,33.3,10.4,14.1,74.1,11,19,57.9,0.31,0.21,0.1,1.25,1.04,0.31,0.21,0.83,Matches
230,Fara Williams,eng ENG,"MF,FW",Reading,35,1984,13.5,25.2,42.9,58.7,489.3,180.1,0.96,2.67,36.1,16.8,23.6,71.4,100,225,44.4,0.44,0.35,0.1,2.44,2.22,1.78,0.3,6.37,Matches
231,Rachel Williams,eng ENG,FW,Birmingham City,31,1988,9,18.8,25.9,72.5,318.3,81.1,0.56,1.67,33.3,15.2,19.6,77.8,27,42,64.3,0,0.04,-0.04,0.89,1.11,0.56,0,2.78,Matches
232,Victoria Williams,eng ENG,DF,Brighton,29,1990,11.1,25.5,37.7,67.5,566.7,237.9,0.09,0.72,12.5,17.2,21.5,79.9,91,172,52.9,0,0,0,0.09,1.62,0.18,0,2.61,Matches
233,Leah Williamson,eng ENG,"DF,MF",Arsenal,22,1997,14.4,74.2,85,87.3,1710.8,601,0.21,0.56,37.5,48.8,52.9,92.3,363,454,80,0.14,0.06,0.08,0.69,6.46,0.56,0,7.92,Matches
234,Georgia Wilson,,MF,Bristol City,,,4.4,9.55,15,63.6,143.6,33.6,0,1.14,0,8.41,11.1,75.5,5,12,41.7,0,0,0,0.45,1.14,0,0,0.45,Matches
235,Siri Worm,nl NED,DF,Tottenham,27,1992,8.2,41,56.8,72.1,812,371,0.61,1.71,35.7,31.3,37.9,82.6,74,141,52.5,0,0.01,-0.01,0.49,1.83,0.37,0.24,7.44,Matches
236,Tessa Wullaert,be BEL,"FW,MF",Manchester City,26,1993,9.7,30.5,41.6,73.3,510.7,172.9,0.62,2.06,30,25.2,31,81.1,46,83,55.4,0,0.32,-0.32,2.78,2.47,2.47,0.52,6.39,Matches
237,Megan Wynne,wal WAL,"DF,MF",Tottenham,26,1993,0.1,50,90,55.6,600,330,0,0,,50,70,71.4,0,2,0,0,0,0,0,30,0,0,10,Matches
238,Megan Wynne,wal WAL,"FW,MF",Bristol City,26,1993,1.3,8.46,20,42.3,143.8,43.8,0,3.08,0,8.46,13.8,61.1,0,4,0,0,0,0,0,0,0.77,0.77,1.54,Matches
239,Katie Zelem,eng ENG,MF,Manchester Utd,23,1996,12.8,38.4,54.5,70.5,800.1,283.7,0.55,1.95,28,27.3,33.1,82.5,135,249,54.2,0.16,0.13,0.03,1.72,4.38,1.56,0.23,9.38,Matches
240,Manuela Zinsberger,at AUT,GK,Arsenal,23,1995,12,37,45.3,81.6,881.8,477.4,0.83,0.92,90.9,22.7,22.8,99.6,162,260,62.3,0,0,0,0,0,0,0,0,Matches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,